epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.3515913791941813,0.8452177956905906,0.668384156592848,0.7698986975397974
2,0.2735296139613988,0.8801736164935668,0.3742173110955703,0.8484081041968162
3,0.25328790769154225,0.8952100449542707,0.5838026893466668,0.8147612156295224
4,0.24799497056434255,0.8944349713222756,0.4468671753247809,0.8252532561505065
5,0.2117936736094898,0.9100139513253759,0.3836594142461824,0.8632416787264834
6,0.21249551214814796,0.9122616648581615,0.5780876965495163,0.8143994211287988
7,0.2186633950378558,0.9082312819717874,0.2972457280811111,0.8668596237337193
8,0.19967021577266958,0.9184622539141218,0.7542161189353932,0.8093342981186686
9,0.19076139219434404,0.9235002325220896,0.5244023202555914,0.8429811866859623
10,0.19946268307591683,0.9222601147108975,0.8346216029092648,0.8093342981186686
11,0.18600568983780655,0.9225701441636955,0.4205673158427568,0.8552821997105644
12,0.18227857771704797,0.9273756006820648,0.5136365699440284,0.8390014471780028
13,0.17696700290069528,0.9277631374980623,0.4456265541130485,0.85383502170767
14,0.1875906207800429,0.9240427840644861,0.8045489073834785,0.8172937771345875
15,0.16834685223968504,0.9348938149124166,1.0301038559887412,0.8057163531114327
